Descriptor name,Description
MINsSeH,min of sSeH
MINdSe,min of dSe
MINssSe,min of ssSe
MINaaSe,min of aaSe
MINdssSe,min of dssSe
MINddssSe,min of ddssSe
MINsBr,min of sBr
MINsSnH3,min of sSnH3
MINssSnH2,min of ssSnH2
MINsssSnH,min of sssSnH
MINssssSn,min of ssssSn
MINsI,min of sI
MINsPbH3,min of sPbH3
MINssPbH2,min of ssPbH2
MINsssPbH,min of sssPbH
MINssssPb,min of ssssPb
ECIndex,eccentric connectivity index
ETA_alpha,ETA core count
AETA_alpha,averaged ETA core count
ETA_shape_p,ETA shape index (type: p)
ETA_shape_y,ETA shape index (type: y)
ETA_shape_x,ETA shape index (type: x)
ETA_beta,valence electron mobile count
AETA_beta,averaged valence electron mobile count
ETA_beta_s,sigma contribution to valence electron mobile count
AETA_beta_s,averaged sigma contribution to valence electron mobile count
ETA_beta_ns,nonsigma contribution to valence electron mobile count
AETA_beta_ns,averaged nonsigma contribution to valence electron mobile count
ETA_beta_ns_d,delta contribution to valence electron mobile count
AETA_beta_ns_d,averaged delta contribution to valence electron mobile count
ETA_eta,ETA composite index for reference graph
AETA_eta,averaged ETA composite index for reference graph
ETA_eta_L,local ETA composite index for reference graph
AETA_eta_L,averaged local ETA composite index for reference graph
ETA_eta_R,ETA composite index for reference graph
AETA_eta_R,averaged ETA composite index for reference graph
ETA_eta_RL,local ETA composite index for reference graph
AETA_eta_RL,averaged local ETA composite index for reference graph
ETA_eta_F,ETA functionality index
AETA_eta_F,averaged ETA functionality index
ETA_eta_FL,local ETA functionality index
AETA_eta_FL,averaged local ETA functionality index
ETA_eta_B,ETA branching index
AETA_eta_B,averaged ETA branching index
ETA_eta_BR,ETA branching index (use ring count)
AETA_eta_BR,averaged ETA branching index (use ring count)
ETA_dAlpha_A,ETA delta alpha (type: A)
ETA_dAlpha_B,ETA delta alpha (type: B)
ETA_epsilon_1,ETA epsilon (type: 1)
ETA_epsilon_2,ETA epsilon (type: 2)
ETA_epsilon_3,ETA epsilon (type: 3)
ETA_epsilon_4,ETA epsilon (type: 4)
ETA_epsilon_5,ETA epsilon (type: 5)
ETA_dEpsilon_A,ETA delta epsilon (type: A)
ETA_dEpsilon_B,ETA delta epsilon (type: B)
ETA_dEpsilon_C,ETA delta epsilon (type: C)
ETA_dEpsilon_D,ETA delta epsilon (type: D)
ETA_dBeta,ETA delta beta
AETA_dBeta,averaged ETA delta beta
ETA_psi_1,ETA psi
ETA_dPsi_A,ETA delta psi (type: A)
ETA_dPsi_B,ETA delta psi (type: B)
fragCpx,fragment complexity
fMF,molecular framework ratio
GeomDiameter,geometric diameter
GeomRadius,geometric radius
GeomShapeIndex,geometrical shape index
GeomPetitjeanIndex,geometric Petitjean index
GRAV,heavy atom gravitational index
GRAVH,gravitational index
GRAVp,heavy atom pair gravitational index
GRAVHp,pair gravitational index
nHBAcc,number of hydrogen bond acceptor
nHBDon,number of hydrogen bond donor
IC0,0-ordered neighborhood information content
IC1,1-ordered neighborhood information content
IC2,2-ordered neighborhood information content
IC3,3-ordered neighborhood information content
IC4,4-ordered neighborhood information content
IC5,5-ordered neighborhood information content
TIC0,0-ordered neighborhood total information content
TIC1,1-ordered neighborhood total information content
TIC2,2-ordered neighborhood total information content
TIC3,3-ordered neighborhood total information content
TIC4,4-ordered neighborhood total information content
TIC5,5-ordered neighborhood total information content
SIC0,0-ordered structural information content
SIC1,1-ordered structural information content
SIC2,2-ordered structural information content
SIC3,3-ordered structural information content
SIC4,4-ordered structural information content
SIC5,5-ordered structural information content
BIC0,0-ordered bonding information content
BIC1,1-ordered bonding information content
BIC2,2-ordered bonding information content
BIC3,3-ordered bonding information content
BIC4,4-ordered bonding information content
BIC5,5-ordered bonding information content
CIC0,0-ordered complementary information content
CIC1,1-ordered complementary information content
CIC2,2-ordered complementary information content
CIC3,3-ordered complementary information content
CIC4,4-ordered complementary information content
CIC5,5-ordered complementary information content
MIC0,0-ordered modified information content
MIC1,1-ordered modified information content
MIC2,2-ordered modified information content
MIC3,3-ordered modified information content
MIC4,4-ordered modified information content
MIC5,5-ordered modified information content
ZMIC0,0-ordered Z-modified information content
ZMIC1,1-ordered Z-modified information content
ZMIC2,2-ordered Z-modified information content
ZMIC3,3-ordered Z-modified information content
ZMIC4,4-ordered Z-modified information content
ZMIC5,5-ordered Z-modified information content
Kier1,kappa shape index 1
Kier2,kappa shape index 2
Kier3,kappa shape index 3
Lipinski,Lipinski rule of five
GhoseFilter,Ghose filter
FilterItLogS,Filter-it™ LogS
VMcGowan,McGowan volume
Mor01,3D-MoRSE (distance = 1)
Mor02,3D-MoRSE (distance = 2)
Mor03,3D-MoRSE (distance = 3)
Mor04,3D-MoRSE (distance = 4)
Mor05,3D-MoRSE (distance = 5)
Mor06,3D-MoRSE (distance = 6)
Mor07,3D-MoRSE (distance = 7)
Mor08,3D-MoRSE (distance = 8)
Mor09,3D-MoRSE (distance = 9)
Mor10,3D-MoRSE (distance = 10)
Mor11,3D-MoRSE (distance = 11)
Mor12,3D-MoRSE (distance = 12)
Mor13,3D-MoRSE (distance = 13)
Mor14,3D-MoRSE (distance = 14)
Mor15,3D-MoRSE (distance = 15)
Mor16,3D-MoRSE (distance = 16)
Mor17,3D-MoRSE (distance = 17)
Mor18,3D-MoRSE (distance = 18)
Mor19,3D-MoRSE (distance = 19)
Mor20,3D-MoRSE (distance = 20)
Mor21,3D-MoRSE (distance = 21)
Mor22,3D-MoRSE (distance = 22)
Mor23,3D-MoRSE (distance = 23)
Mor24,3D-MoRSE (distance = 24)
Mor25,3D-MoRSE (distance = 25)
Mor26,3D-MoRSE (distance = 26)
Mor27,3D-MoRSE (distance = 27)
Mor28,3D-MoRSE (distance = 28)
Mor29,3D-MoRSE (distance = 29)
Mor30,3D-MoRSE (distance = 30)
Mor31,3D-MoRSE (distance = 31)
Mor32,3D-MoRSE (distance = 32)
Mor01m,3D-MoRSE weighted by mass (distance = 1)
Mor02m,3D-MoRSE weighted by mass (distance = 2)
Mor03m,3D-MoRSE weighted by mass (distance = 3)
Mor04m,3D-MoRSE weighted by mass (distance = 4)
Mor05m,3D-MoRSE weighted by mass (distance = 5)
Mor06m,3D-MoRSE weighted by mass (distance = 6)
Mor07m,3D-MoRSE weighted by mass (distance = 7)
Mor08m,3D-MoRSE weighted by mass (distance = 8)
Mor09m,3D-MoRSE weighted by mass (distance = 9)
Mor10m,3D-MoRSE weighted by mass (distance = 10)
Mor11m,3D-MoRSE weighted by mass (distance = 11)
Mor12m,3D-MoRSE weighted by mass (distance = 12)
Mor13m,3D-MoRSE weighted by mass (distance = 13)
Mor14m,3D-MoRSE weighted by mass (distance = 14)
Mor15m,3D-MoRSE weighted by mass (distance = 15)
Mor16m,3D-MoRSE weighted by mass (distance = 16)
Mor17m,3D-MoRSE weighted by mass (distance = 17)
Mor18m,3D-MoRSE weighted by mass (distance = 18)
Mor19m,3D-MoRSE weighted by mass (distance = 19)
Mor20m,3D-MoRSE weighted by mass (distance = 20)
Mor21m,3D-MoRSE weighted by mass (distance = 21)
Mor22m,3D-MoRSE weighted by mass (distance = 22)
Mor23m,3D-MoRSE weighted by mass (distance = 23)
Mor24m,3D-MoRSE weighted by mass (distance = 24)
Mor25m,3D-MoRSE weighted by mass (distance = 25)
Mor26m,3D-MoRSE weighted by mass (distance = 26)
Mor27m,3D-MoRSE weighted by mass (distance = 27)
Mor28m,3D-MoRSE weighted by mass (distance = 28)
Mor29m,3D-MoRSE weighted by mass (distance = 29)
Mor30m,3D-MoRSE weighted by mass (distance = 30)
Mor31m,3D-MoRSE weighted by mass (distance = 31)
Mor32m,3D-MoRSE weighted by mass (distance = 32)
Mor01v,3D-MoRSE weighted by vdw volume (distance = 1)
Mor02v,3D-MoRSE weighted by vdw volume (distance = 2)
Mor03v,3D-MoRSE weighted by vdw volume (distance = 3)
Mor04v,3D-MoRSE weighted by vdw volume (distance = 4)
Mor05v,3D-MoRSE weighted by vdw volume (distance = 5)
Mor06v,3D-MoRSE weighted by vdw volume (distance = 6)
Mor07v,3D-MoRSE weighted by vdw volume (distance = 7)
Mor08v,3D-MoRSE weighted by vdw volume (distance = 8)
Mor09v,3D-MoRSE weighted by vdw volume (distance = 9)
Mor10v,3D-MoRSE weighted by vdw volume (distance = 10)
Mor11v,3D-MoRSE weighted by vdw volume (distance = 11)
Mor12v,3D-MoRSE weighted by vdw volume (distance = 12)
Mor13v,3D-MoRSE weighted by vdw volume (distance = 13)
Mor14v,3D-MoRSE weighted by vdw volume (distance = 14)
Mor15v,3D-MoRSE weighted by vdw volume (distance = 15)
Mor16v,3D-MoRSE weighted by vdw volume (distance = 16)
Mor17v,3D-MoRSE weighted by vdw volume (distance = 17)
Mor18v,3D-MoRSE weighted by vdw volume (distance = 18)
Mor19v,3D-MoRSE weighted by vdw volume (distance = 19)
Mor20v,3D-MoRSE weighted by vdw volume (distance = 20)
Mor21v,3D-MoRSE weighted by vdw volume (distance = 21)
Mor22v,3D-MoRSE weighted by vdw volume (distance = 22)
Mor23v,3D-MoRSE weighted by vdw volume (distance = 23)
Mor24v,3D-MoRSE weighted by vdw volume (distance = 24)
Mor25v,3D-MoRSE weighted by vdw volume (distance = 25)
Mor26v,3D-MoRSE weighted by vdw volume (distance = 26)
Mor27v,3D-MoRSE weighted by vdw volume (distance = 27)
Mor28v,3D-MoRSE weighted by vdw volume (distance = 28)
Mor29v,3D-MoRSE weighted by vdw volume (distance = 29)
Mor30v,3D-MoRSE weighted by vdw volume (distance = 30)
Mor31v,3D-MoRSE weighted by vdw volume (distance = 31)
Mor32v,3D-MoRSE weighted by vdw volume (distance = 32)
Mor01se,3D-MoRSE weighted by sanderson EN (distance = 1)
Mor02se,3D-MoRSE weighted by sanderson EN (distance = 2)
Mor03se,3D-MoRSE weighted by sanderson EN (distance = 3)
Mor04se,3D-MoRSE weighted by sanderson EN (distance = 4)
Mor05se,3D-MoRSE weighted by sanderson EN (distance = 5)
Mor06se,3D-MoRSE weighted by sanderson EN (distance = 6)
Mor07se,3D-MoRSE weighted by sanderson EN (distance = 7)
Mor08se,3D-MoRSE weighted by sanderson EN (distance = 8)
Mor09se,3D-MoRSE weighted by sanderson EN (distance = 9)
Mor10se,3D-MoRSE weighted by sanderson EN (distance = 10)
Mor11se,3D-MoRSE weighted by sanderson EN (distance = 11)
Mor12se,3D-MoRSE weighted by sanderson EN (distance = 12)
Mor13se,3D-MoRSE weighted by sanderson EN (distance = 13)
Mor14se,3D-MoRSE weighted by sanderson EN (distance = 14)
Mor15se,3D-MoRSE weighted by sanderson EN (distance = 15)
Mor16se,3D-MoRSE weighted by sanderson EN (distance = 16)
Mor17se,3D-MoRSE weighted by sanderson EN (distance = 17)
Mor18se,3D-MoRSE weighted by sanderson EN (distance = 18)
Mor19se,3D-MoRSE weighted by sanderson EN (distance = 19)
Mor20se,3D-MoRSE weighted by sanderson EN (distance = 20)
Mor21se,3D-MoRSE weighted by sanderson EN (distance = 21)
Mor22se,3D-MoRSE weighted by sanderson EN (distance = 22)
Mor23se,3D-MoRSE weighted by sanderson EN (distance = 23)
Mor24se,3D-MoRSE weighted by sanderson EN (distance = 24)
Mor25se,3D-MoRSE weighted by sanderson EN (distance = 25)
Mor26se,3D-MoRSE weighted by sanderson EN (distance = 26)
Mor27se,3D-MoRSE weighted by sanderson EN (distance = 27)
Mor28se,3D-MoRSE weighted by sanderson EN (distance = 28)
Mor29se,3D-MoRSE weighted by sanderson EN (distance = 29)
Mor30se,3D-MoRSE weighted by sanderson EN (distance = 30)
Mor31se,3D-MoRSE weighted by sanderson EN (distance = 31)
Mor32se,3D-MoRSE weighted by sanderson EN (distance = 32)
Mor01p,3D-MoRSE weighted by polarizability (distance = 1)
Mor02p,3D-MoRSE weighted by polarizability (distance = 2)
Mor03p,3D-MoRSE weighted by polarizability (distance = 3)
Mor04p,3D-MoRSE weighted by polarizability (distance = 4)
Mor05p,3D-MoRSE weighted by polarizability (distance = 5)
Mor06p,3D-MoRSE weighted by polarizability (distance = 6)
Mor07p,3D-MoRSE weighted by polarizability (distance = 7)
Mor08p,3D-MoRSE weighted by polarizability (distance = 8)
Mor09p,3D-MoRSE weighted by polarizability (distance = 9)
Mor10p,3D-MoRSE weighted by polarizability (distance = 10)
Mor11p,3D-MoRSE weighted by polarizability (distance = 11)
Mor12p,3D-MoRSE weighted by polarizability (distance = 12)
Mor13p,3D-MoRSE weighted by polarizability (distance = 13)
Mor14p,3D-MoRSE weighted by polarizability (distance = 14)
Mor15p,3D-MoRSE weighted by polarizability (distance = 15)
Mor16p,3D-MoRSE weighted by polarizability (distance = 16)
Mor17p,3D-MoRSE weighted by polarizability (distance = 17)
Mor18p,3D-MoRSE weighted by polarizability (distance = 18)
Mor19p,3D-MoRSE weighted by polarizability (distance = 19)
Mor20p,3D-MoRSE weighted by polarizability (distance = 20)
Mor21p,3D-MoRSE weighted by polarizability (distance = 21)
Mor22p,3D-MoRSE weighted by polarizability (distance = 22)
Mor23p,3D-MoRSE weighted by polarizability (distance = 23)
Mor24p,3D-MoRSE weighted by polarizability (distance = 24)
Mor25p,3D-MoRSE weighted by polarizability (distance = 25)
Mor26p,3D-MoRSE weighted by polarizability (distance = 26)
Mor27p,3D-MoRSE weighted by polarizability (distance = 27)
Mor28p,3D-MoRSE weighted by polarizability (distance = 28)
Mor29p,3D-MoRSE weighted by polarizability (distance = 29)
Mor30p,3D-MoRSE weighted by polarizability (distance = 30)
Mor31p,3D-MoRSE weighted by polarizability (distance = 31)
Mor32p,3D-MoRSE weighted by polarizability (distance = 32)
LabuteASA,Labute's Approximate Surface Area
PEOE_VSA1,MOE Charge VSA Descriptor 1 (-inf < x < -0.30)
PEOE_VSA2,MOE Charge VSA Descriptor 2 (-0.30 <= x < -0.25)
PEOE_VSA3,MOE Charge VSA Descriptor 3 (-0.25 <= x < -0.20)
PEOE_VSA4,MOE Charge VSA Descriptor 4 (-0.20 <= x < -0.15)
PEOE_VSA5,MOE Charge VSA Descriptor 5 (-0.15 <= x < -0.10)
PEOE_VSA6,MOE Charge VSA Descriptor 6 (-0.10 <= x < -0.05)
PEOE_VSA7,MOE Charge VSA Descriptor 7 (-0.05 <= x <  0.00)
PEOE_VSA8,MOE Charge VSA Descriptor 8 ( 0.00 <= x <  0.05)
PEOE_VSA9,MOE Charge VSA Descriptor 9 ( 0.05 <= x <  0.10)
PEOE_VSA10,MOE Charge VSA Descriptor 10 ( 0.10 <= x <  0.15)
PEOE_VSA11,MOE Charge VSA Descriptor 11 ( 0.15 <= x <  0.20)
PEOE_VSA12,MOE Charge VSA Descriptor 12 ( 0.20 <= x <  0.25)
PEOE_VSA13,MOE Charge VSA Descriptor 13 ( 0.25 <= x <  0.30)
SMR_VSA1,MOE MR VSA Descriptor 1 (-inf < x <  1.29)
SMR_VSA2,MOE MR VSA Descriptor 2 ( 1.29 <= x <  1.82)
SMR_VSA3,MOE MR VSA Descriptor 3 ( 1.82 <= x <  2.24)
SMR_VSA4,MOE MR VSA Descriptor 4 ( 2.24 <= x <  2.45)
SMR_VSA5,MOE MR VSA Descriptor 5 ( 2.45 <= x <  2.75)
SMR_VSA6,MOE MR VSA Descriptor 6 ( 2.75 <= x <  3.05)
SMR_VSA7,MOE MR VSA Descriptor 7 ( 3.05 <= x <  3.63)
SMR_VSA8,MOE MR VSA Descriptor 8 ( 3.63 <= x <  3.80)
SMR_VSA9,MOE MR VSA Descriptor 9 ( 3.80 <= x <  4.00)
SlogP_VSA1,MOE logP VSA Descriptor 1 (-inf < x < -0.40)
SlogP_VSA2,MOE logP VSA Descriptor 2 (-0.40 <= x < -0.20)
SlogP_VSA3,MOE logP VSA Descriptor 3 (-0.20 <= x <  0.00)
SlogP_VSA4,MOE logP VSA Descriptor 4 ( 0.00 <= x <  0.10)
SlogP_VSA5,MOE logP VSA Descriptor 5 ( 0.10 <= x <  0.15)
SlogP_VSA6,MOE logP VSA Descriptor 6 ( 0.15 <= x <  0.20)
SlogP_VSA7,MOE logP VSA Descriptor 7 ( 0.20 <= x <  0.25)
SlogP_VSA8,MOE logP VSA Descriptor 8 ( 0.25 <= x <  0.30)
SlogP_VSA9,MOE logP VSA Descriptor 9 ( 0.30 <= x <  0.40)
SlogP_VSA10,MOE logP VSA Descriptor 10 ( 0.40 <= x <  0.50)
SlogP_VSA11,MOE logP VSA Descriptor 11 ( 0.50 <= x <  0.60)
EState_VSA1,EState VSA Descriptor 1 (-inf < x <  -0.39)
EState_VSA2,EState VSA Descriptor 2 ( -0.39 <= x <  0.29)
EState_VSA3,EState VSA Descriptor 3 ( 0.29 <= x <  0.72)
EState_VSA4,EState VSA Descriptor 4 ( 0.72 <= x <  1.17)
EState_VSA5,EState VSA Descriptor 5 ( 1.17 <= x <  1.54)
EState_VSA6,EState VSA Descriptor 6 ( 1.54 <= x <  1.81)
EState_VSA7,EState VSA Descriptor 7 ( 1.81 <= x <  2.05)
EState_VSA8,EState VSA Descriptor 8 ( 2.05 <= x <  4.69)
EState_VSA9,EState VSA Descriptor 9 ( 4.69 <= x <  9.17)
EState_VSA10,EState VSA Descriptor 10 ( 9.17 <= x <  15.00)
VSA_EState1,VSA EState Descriptor 1 (-inf < x <  4.78)
VSA_EState2,VSA EState Descriptor 2 ( 4.78 <= x <  5.00)
VSA_EState3,VSA EState Descriptor 3 ( 5.00 <= x <  5.41)
VSA_EState4,VSA EState Descriptor 4 ( 5.41 <= x <  5.74)
VSA_EState5,VSA EState Descriptor 5 ( 5.74 <= x <  6.00)
VSA_EState6,VSA EState Descriptor 6 ( 6.00 <= x <  6.07)
VSA_EState7,VSA EState Descriptor 7 ( 6.07 <= x <  6.45)
VSA_EState8,VSA EState Descriptor 8 ( 6.45 <= x <  7.00)
VSA_EState9,VSA EState Descriptor 9 ( 7.00 <= x <  11.00)
MDEC-11,molecular distance edge between primary C and primary C
MDEC-12,molecular distance edge between primary C and secondary C
MDEC-13,molecular distance edge between primary C and tertiary C
MDEC-14,molecular distance edge between primary C and quaternary C
MDEC-22,molecular distance edge between secondary C and secondary C
MDEC-23,molecular distance edge between secondary C and tertiary C
MDEC-24,molecular distance edge between secondary C and quaternary C
MDEC-33,molecular distance edge between tertiary C and tertiary C
MDEC-34,molecular distance edge between tertiary C and quaternary C
MDEC-44,molecular distance edge between quaternary C and quaternary C
MDEO-11,molecular distance edge between primary O and primary O
MDEO-12,molecular distance edge between primary O and secondary O
MDEO-22,molecular distance edge between secondary O and secondary O
MDEN-11,molecular distance edge between primary N and primary N
MDEN-12,molecular distance edge between primary N and secondary N
MDEN-13,molecular distance edge between primary N and tertiary N
MDEN-22,molecular distance edge between secondary N and secondary N
MDEN-23,molecular distance edge between secondary N and tertiary N
MDEN-33,molecular distance edge between tertiary N and tertiary N
MID,molecular ID
AMID,averaged molecular ID
MID_h,molecular ID on h atoms
AMID_h,averaged molecular ID on h atoms
MID_C,molecular ID on C atoms
AMID_C,averaged molecular ID on C atoms
MID_N,molecular ID on N atoms
AMID_N,averaged molecular ID on N atoms
MID_O,molecular ID on O atoms
AMID_O,averaged molecular ID on O atoms
MID_X,molecular ID on halogen atoms
AMID_X,averaged molecular ID on halogen atoms
MOMI-X,moment of inertia (axis = X)
MOMI-Y,moment of inertia (axis = Y)
MOMI-Z,moment of inertia (axis = Z)
PBF,PBF
MPC2,2-ordered path count
MPC3,3-ordered path count
MPC4,4-ordered path count
MPC5,5-ordered path count
MPC6,6-ordered path count
MPC7,7-ordered path count
MPC8,8-ordered path count
MPC9,9-ordered path count
MPC10,10-ordered path count
TMPC10,10-ordered total path count
piPC1,1-ordered pi-path count (log scale)
piPC2,2-ordered pi-path count (log scale)
piPC3,3-ordered pi-path count (log scale)
piPC4,4-ordered pi-path count (log scale)
piPC5,5-ordered pi-path count (log scale)
piPC6,6-ordered pi-path count (log scale)
piPC7,7-ordered pi-path count (log scale)
piPC8,8-ordered pi-path count (log scale)
piPC9,9-ordered pi-path count (log scale)
piPC10,10-ordered pi-path count (log scale)
TpiPC10,10-ordered total pi-path count (log scale)
apol,atomic polarizability
bpol,bond polarizability
nRing,ring count
n3Ring,3-membered ring count
n4Ring,4-membered ring count
n5Ring,5-membered ring count
n6Ring,6-membered ring count
n7Ring,7-membered ring count
n8Ring,8-membered ring count
n9Ring,9-membered ring count
n10Ring,10-membered ring count
n11Ring,11-membered ring count
n12Ring,12-membered ring count
nG12Ring,12-or-greater-membered ring count
nHRing,hetero ring count
n3HRing,3-membered hetero ring count
n4HRing,4-membered hetero ring count
n5HRing,5-membered hetero ring count
n6HRing,6-membered hetero ring count
n7HRing,7-membered hetero ring count
n8HRing,8-membered hetero ring count
n9HRing,9-membered hetero ring count
n10HRing,10-membered hetero ring count
n11HRing,11-membered hetero ring count
n12HRing,12-membered hetero ring count
nG12HRing,12-or-greater-membered hetero ring count
naRing,aromatic ring count
n3aRing,3-membered aromatic ring count
n4aRing,4-membered aromatic ring count
n5aRing,5-membered aromatic ring count
n6aRing,6-membered aromatic ring count
n7aRing,7-membered aromatic ring count
n8aRing,8-membered aromatic ring count
n9aRing,9-membered aromatic ring count
n10aRing,10-membered aromatic ring count
n11aRing,11-membered aromatic ring count
n12aRing,12-membered aromatic ring count
nG12aRing,12-or-greater-membered aromatic ring count
naHRing,aromatic hetero ring count
n3aHRing,3-membered aromatic hetero ring count
n4aHRing,4-membered aromatic hetero ring count
n5aHRing,5-membered aromatic hetero ring count
n6aHRing,6-membered aromatic hetero ring count
n7aHRing,7-membered aromatic hetero ring count
n8aHRing,8-membered aromatic hetero ring count
n9aHRing,9-membered aromatic hetero ring count
n10aHRing,10-membered aromatic hetero ring count
n11aHRing,11-membered aromatic hetero ring count
n12aHRing,12-membered aromatic hetero ring count
nG12aHRing,12-or-greater-membered aromatic hetero ring count
nARing,aliphatic ring count
n3ARing,3-membered aliphatic ring count
n4ARing,4-membered aliphatic ring count
n5ARing,5-membered aliphatic ring count
n6ARing,6-membered aliphatic ring count
n7ARing,7-membered aliphatic ring count
n8ARing,8-membered aliphatic ring count
n9ARing,9-membered aliphatic ring count
n10ARing,10-membered aliphatic ring count
n11ARing,11-membered aliphatic ring count
n12ARing,12-membered aliphatic ring count
nG12ARing,12-or-greater-membered aliphatic ring count
nAHRing,aliphatic hetero ring count
n3AHRing,3-membered aliphatic hetero ring count
n4AHRing,4-membered aliphatic hetero ring count
n5AHRing,5-membered aliphatic hetero ring count
n6AHRing,6-membered aliphatic hetero ring count
n7AHRing,7-membered aliphatic hetero ring count
n8AHRing,8-membered aliphatic hetero ring count
n9AHRing,9-membered aliphatic hetero ring count
n10AHRing,10-membered aliphatic hetero ring count
n11AHRing,11-membered aliphatic hetero ring count
n12AHRing,12-membered aliphatic hetero ring count
nG12AHRing,12-or-greater-membered aliphatic hetero ring count
nFRing,fused ring count
n4FRing,4-membered fused ring count
n5FRing,5-membered fused ring count
n6FRing,6-membered fused ring count
n7FRing,7-membered fused ring count
n8FRing,8-membered fused ring count
n9FRing,9-membered fused ring count
n10FRing,10-membered fused ring count
n11FRing,11-membered fused ring count
n12FRing,12-membered fused ring count
nG12FRing,12-or-greater-membered fused ring count
nFHRing,fused hetero ring count
n4FHRing,4-membered fused hetero ring count
n5FHRing,5-membered fused hetero ring count
n6FHRing,6-membered fused hetero ring count
n7FHRing,7-membered fused hetero ring count
n8FHRing,8-membered fused hetero ring count
n9FHRing,9-membered fused hetero ring count
n10FHRing,10-membered fused hetero ring count
n11FHRing,11-membered fused hetero ring count
n12FHRing,12-membered fused hetero ring count
nG12FHRing,12-or-greater-membered fused hetero ring count
nFaRing,aromatic fused ring count
n4FaRing,4-membered aromatic fused ring count
n5FaRing,5-membered aromatic fused ring count
n6FaRing,6-membered aromatic fused ring count
n7FaRing,7-membered aromatic fused ring count
n8FaRing,8-membered aromatic fused ring count
n9FaRing,9-membered aromatic fused ring count
n10FaRing,10-membered aromatic fused ring count
n11FaRing,11-membered aromatic fused ring count
n12FaRing,12-membered aromatic fused ring count
nG12FaRing,12-or-greater-membered aromatic fused ring count
nFaHRing,aromatic fused hetero ring count
n4FaHRing,4-membered aromatic fused hetero ring count
n5FaHRing,5-membered aromatic fused hetero ring count
n6FaHRing,6-membered aromatic fused hetero ring count
n7FaHRing,7-membered aromatic fused hetero ring count
n8FaHRing,8-membered aromatic fused hetero ring count
n9FaHRing,9-membered aromatic fused hetero ring count
n10FaHRing,10-membered aromatic fused hetero ring count
n11FaHRing,11-membered aromatic fused hetero ring count
n12FaHRing,12-membered aromatic fused hetero ring count
nG12FaHRing,12-or-greater-membered aromatic fused hetero ring count
nFARing,aliphatic fused ring count
n4FARing,4-membered aliphatic fused ring count
n5FARing,5-membered aliphatic fused ring count
n6FARing,6-membered aliphatic fused ring count
n7FARing,7-membered aliphatic fused ring count
n8FARing,8-membered aliphatic fused ring count
n9FARing,9-membered aliphatic fused ring count
n10FARing,10-membered aliphatic fused ring count
n11FARing,11-membered aliphatic fused ring count
n12FARing,12-membered aliphatic fused ring count
nG12FARing,12-or-greater-membered aliphatic fused ring count
nFAHRing,aliphatic fused hetero ring count
n4FAHRing,4-membered aliphatic fused hetero ring count
n5FAHRing,5-membered aliphatic fused hetero ring count
n6FAHRing,6-membered aliphatic fused hetero ring count
n7FAHRing,7-membered aliphatic fused hetero ring count
n8FAHRing,8-membered aliphatic fused hetero ring count
n9FAHRing,9-membered aliphatic fused hetero ring count
n10FAHRing,10-membered aliphatic fused hetero ring count
n11FAHRing,11-membered aliphatic fused hetero ring count
n12FAHRing,12-membered aliphatic fused hetero ring count
nG12FAHRing,12-or-greater-membered aliphatic fused hetero ring count
nRot,rotatable bonds count
RotRatio,rotatable bonds ratio
SLogP,Wildman-Crippen LogP
SMR,Wildman-Crippen MR
TopoPSA(NO),topological polar surface area (use only nitrogen and oxygen)
TopoPSA,topological polar surface area
GGI1,1-ordered raw topological charge
GGI2,2-ordered raw topological charge
GGI3,3-ordered raw topological charge
GGI4,4-ordered raw topological charge
GGI5,5-ordered raw topological charge
GGI6,6-ordered raw topological charge
GGI7,7-ordered raw topological charge
GGI8,8-ordered raw topological charge
GGI9,9-ordered raw topological charge
GGI10,10-ordered raw topological charge
JGI1,1-ordered mean topological charge
JGI2,2-ordered mean topological charge
JGI3,3-ordered mean topological charge
JGI4,4-ordered mean topological charge
JGI5,5-ordered mean topological charge
JGI6,6-ordered mean topological charge
JGI7,7-ordered mean topological charge
JGI8,8-ordered mean topological charge
JGI9,9-ordered mean topological charge
JGI10,10-ordered mean topological charge
JGT10,10-ordered global topological charge
Diameter,topological diameter
Radius,topological radius
TopoShapeIndex,topological shape index
PetitjeanIndex,Petitjean index
Vabc,ABC van der waals volume
VAdjMat,vertex adjacency information
MWC01,walk count (leg-1)
MWC02,walk count (leg-2)
MWC03,walk count (leg-3)
MWC04,walk count (leg-4)
MWC05,walk count (leg-5)
MWC06,walk count (leg-6)
MWC07,walk count (leg-7)
MWC08,walk count (leg-8)
MWC09,walk count (leg-9)
MWC10,walk count (leg-10)
TMWC10,total walk count (leg-10)
SRW02,"walk count (leg-2, only self returning walk)"
SRW03,"walk count (leg-3, only self returning walk)"
SRW04,"walk count (leg-4, only self returning walk)"
SRW05,"walk count (leg-5, only self returning walk)"
SRW06,"walk count (leg-6, only self returning walk)"
SRW07,"walk count (leg-7, only self returning walk)"
SRW08,"walk count (leg-8, only self returning walk)"
SRW09,"walk count (leg-9, only self returning walk)"
SRW10,"walk count (leg-10, only self returning walk)"
TSRW10,"total walk count (leg-10, only self returning walk)"
MW,exact molecular weight
AMW,averaged exact molecular weight
WPath,Wiener index
WPol,Wiener polarity index
Zagreb1,Zagreb index (version 1)
Zagreb2,Zagreb index (version 2)
mZagreb1,modified Zagreb index (version 1)
mZagreb2,modified Zagreb index (version 2)
